,date,streams,stringency
0,2018-08-24,3747850,
1,2018-08-31,4059240,
2,2018-09-07,4049810,
3,2018-09-14,4126421,
4,2018-09-21,4081063,
5,2018-09-28,4060245,
6,2018-10-05,4262727,
7,2018-10-12,4195456,
8,2018-10-19,4005850,
9,2018-10-26,4169326,
10,2018-11-02,4020122,
11,2018-11-09,4401274,
12,2018-11-16,4101903,
13,2018-11-23,4095576,
14,2018-11-30,4453775,
15,2018-12-07,4533395,
16,2018-12-14,5138617,
17,2018-12-21,7041123,
18,2018-12-28,3911061,
19,2019-01-04,4103456,
20,2019-01-11,4314067,
21,2019-01-18,4469118,
22,2019-01-25,4540966,
23,2019-02-01,4769727,
24,2019-02-08,4997778,
25,2019-02-15,4830606,
26,2019-02-22,4755895,
27,2019-03-01,4797652,
28,2019-03-08,4683206,
29,2019-03-15,4418487,
30,2019-03-22,4567742,
31,2019-03-29,4936525,
32,2019-04-05,4805341,
33,2019-04-12,4876527,
34,2019-04-19,4365279,
35,2019-04-26,4514030,
36,2019-05-03,4503901,
37,2019-05-10,4665953,
38,2019-05-17,4799240,
39,2019-05-24,4731160,
40,2019-05-31,4762121,
41,2019-06-07,4708922,
42,2019-06-14,4747275,
43,2019-06-21,5094195,
44,2019-06-28,5210694,
45,2019-07-05,5113168,
46,2019-07-12,5327014,
47,2019-07-19,5101913,
48,2019-07-26,4837894,
49,2019-08-02,4962055,
50,2019-08-09,4969810,
51,2019-08-16,4714789,
52,2019-08-23,4775367,
53,2019-08-30,4887066,
54,2019-09-06,5457918,
55,2019-09-13,5559983,
56,2019-09-20,5257228,
57,2019-09-27,5164758,
58,2019-10-04,5313897,
59,2019-10-11,5464193,
60,2019-10-18,5377762,
61,2019-10-25,5832640,
62,2019-11-01,5263829,
63,2019-11-08,5491417,
64,2019-11-15,5880811,
65,2019-11-22,5974284,
66,2019-11-29,6459058,
67,2019-12-06,7051048,
68,2019-12-13,7128763,
69,2019-12-20,10217256,
70,2019-12-27,5694940,
71,2020-01-03,5908376,0.0
72,2020-01-10,6462037,0.0
73,2020-01-17,6761659,0.0
74,2020-01-24,6494525,0.0
75,2020-01-31,6398402,0.0
76,2020-02-07,6469919,0.0
77,2020-02-14,6539468,0.0
78,2020-02-21,6430826,0.0
79,2020-02-28,6289856,3.2
80,2020-03-06,6113371,11.1
81,2020-03-13,5945527,43.4
82,2020-03-20,5906222,67.6
83,2020-03-27,6079669,70.8
84,2020-04-03,6095010,76.8
85,2020-04-10,5640845,76.8
86,2020-04-17,5825857,76.8
87,2020-04-24,5983264,76.8
88,2020-05-01,5652097,76.8
89,2020-05-08,5984949,63.0
90,2020-05-15,6088025,63.0
91,2020-05-22,6096512,63.0
92,2020-05-29,6006672,63.0
93,2020-06-05,5979184,63.0
94,2020-06-12,6047139,63.0
95,2020-06-19,5991096,58.6
96,2020-06-26,6217170,52.8
97,2020-07-03,6199635,52.8
98,2020-07-10,6431743,52.8
99,2020-07-17,6344259,52.8
100,2020-07-24,6311538,52.8
101,2020-07-31,6301852,52.8
102,2020-08-07,6427139,52.8
103,2020-08-14,6404365,49.6
